,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"beta_time[Fraley, Jake]",4.034,0.522,2.993,4.975,0.005,0.007,13100.0,5353.0,1.0
"beta_time[Frazier, Adam]",4.211,0.439,3.392,5.045,0.005,0.005,7459.0,6055.0,1.0
"beta_time[Freeman, Cody]",4.141,0.574,3.091,5.22,0.005,0.009,11367.0,5802.0,1.0
"beta_time[Garcia, Jhostynxon]",4.171,0.607,2.985,5.293,0.006,0.01,10530.0,5091.0,1.0
"beta_time[Gasper, Mickey]",4.021,0.611,2.806,5.106,0.005,0.01,13413.0,4860.0,1.0
"beta_time[Gonzalez, Oscar]",4.256,0.575,3.128,5.3,0.006,0.008,11148.0,4323.0,1.0
"beta_time[Greene, Riley]",4.01,0.344,3.365,4.652,0.004,0.004,8146.0,6116.0,1.0
"beta_time[Grichuk, Randal]",4.17,0.526,3.179,5.171,0.006,0.007,9019.0,5432.0,1.0
"beta_time[Gurriel Jr., Lourdes]",4.253,0.391,3.514,4.977,0.004,0.004,9004.0,6224.0,1.0
"beta_time[Haggerty, Sam]",4.493,0.534,3.502,5.519,0.007,0.007,6361.0,4973.0,1.0
"beta_time[Hampson, Garrett]",4.124,0.553,3.072,5.164,0.005,0.009,13321.0,4664.0,1.0
"beta_time[Happ, Ian]",3.879,0.336,3.29,4.538,0.003,0.004,9828.0,5169.0,1.0
"beta_time[Harris, Dustin]",4.153,0.565,3.044,5.182,0.005,0.008,12668.0,4962.0,1.0
"beta_time[Hassell III, Robert]",4.174,0.601,3.097,5.357,0.006,0.01,11013.0,4424.0,1.0
"beta_time[Hays, Austin]",4.144,0.443,3.286,4.96,0.005,0.005,7333.0,4865.0,1.0
"beta_time[Hernández, Enrique]",3.817,0.563,2.777,4.888,0.005,0.007,12910.0,5781.0,1.0
"beta_time[Hernández, Heriberto]",4.535,0.529,3.556,5.524,0.008,0.007,4921.0,4870.0,1.0
"beta_time[Herrera, Iván]",4.202,0.578,3.145,5.331,0.006,0.007,9801.0,5595.0,1.0
"beta_time[Heyward, Jason]",4.059,0.519,3.08,5.033,0.005,0.007,13026.0,5968.0,1.0
"beta_time[Hilliard, Sam]",4.139,0.575,3.017,5.176,0.006,0.009,10945.0,4170.0,1.0
"beta_time[Hummel, Cooper]",4.115,0.515,3.136,5.073,0.005,0.007,11270.0,4783.0,1.0
"beta_time[Hurtubise, Jacob]",4.053,0.586,2.91,5.155,0.005,0.009,12345.0,4558.0,1.0
"beta_time[Iglesias, Jose]",4.264,0.599,3.162,5.426,0.006,0.008,10080.0,5024.0,1.0
"beta_time[India, Jonathan]",4.325,0.537,3.306,5.323,0.006,0.008,7416.0,5166.0,1.0
"beta_time[Jankowski, Travis]",4.275,0.593,3.158,5.404,0.006,0.009,9734.0,4580.0,1.0
"beta_time[Joe, Connor]",4.108,0.54,3.126,5.153,0.005,0.008,12949.0,5782.0,1.0
"beta_time[Johnson, Bryce]",3.739,0.531,2.728,4.743,0.005,0.007,11614.0,5725.0,1.0
"beta_time[Johnson, Daniel]",4.235,0.558,3.171,5.275,0.006,0.007,10108.0,5323.0,1.0
"beta_time[Johnston, Troy]",3.317,0.579,2.2,4.379,0.008,0.007,5131.0,4738.0,1.0
"beta_time[Jones, Jahmai]",4.132,0.604,2.914,5.22,0.005,0.009,12079.0,5064.0,1.0
"beta_time[Jones, Nolan]",4.267,0.566,3.231,5.372,0.006,0.008,9325.0,3705.0,1.0
"beta_time[Julks, Corey]",4.2,0.593,3.054,5.27,0.006,0.008,11372.0,5625.0,1.0
"beta_time[Keirsey Jr., DaShawn]",4.064,0.542,3.055,5.101,0.005,0.007,12194.0,5905.0,1.0
"beta_time[Kelenic, Jarred]",4.11,0.602,2.951,5.233,0.005,0.009,12673.0,4892.0,1.0
"beta_time[Kemp, Otto]",4.268,0.551,3.185,5.291,0.006,0.008,9472.0,5150.0,1.0
"beta_time[Kepler, Max]",4.391,0.429,3.645,5.245,0.005,0.005,6487.0,5704.0,1.0
"beta_time[Kjerstad, Heston]",3.961,0.519,2.94,4.885,0.005,0.007,13028.0,6244.0,1.0
"beta_time[Kwan, Steven]",3.646,0.306,3.1,4.25,0.003,0.003,9488.0,5848.0,1.0
"beta_time[Langford, Wyatt]",3.584,0.342,2.942,4.22,0.004,0.004,8418.0,5996.0,1.0
"beta_time[Larnach, Trevor]",3.593,0.496,2.643,4.509,0.005,0.006,9373.0,6014.0,1.0
"beta_time[Laureano, Ramón]",4.147,0.401,3.398,4.894,0.004,0.004,10764.0,6351.0,1.0
"beta_time[Lile, Daylen]",3.894,0.492,2.975,4.805,0.005,0.006,11318.0,5598.0,1.0
"beta_time[Lockridge, Brandon]",4.572,0.534,3.63,5.617,0.008,0.007,4786.0,4614.0,1.0
"beta_time[Loftin, Nick]",4.042,0.491,3.111,4.957,0.004,0.006,12455.0,6374.0,1.0
"beta_time[Loperfido, Joey]",4.051,0.49,3.141,4.995,0.004,0.006,12288.0,5993.0,1.0
"beta_time[Lugo, Matthew]",4.334,0.59,3.232,5.439,0.007,0.008,8426.0,4954.0,1.0
"beta_time[Lukes, Nathan]",3.902,0.504,2.948,4.849,0.004,0.007,13319.0,5033.0,1.0
"beta_time[Lux, Gavin]",4.479,0.498,3.569,5.438,0.006,0.006,7010.0,4978.0,1.0
"beta_time[Malloy, Justyn-Henry]",4.111,0.604,2.933,5.205,0.005,0.008,13423.0,5270.0,1.0
"beta_time[Mangum, Jake]",4.326,0.473,3.417,5.207,0.006,0.006,7644.0,4829.0,1.0
"beta_time[Marsee, Jakob]",3.57,0.541,2.56,4.575,0.006,0.006,8901.0,6168.0,1.0
"beta_time[Marsh, Brandon]",4.52,0.505,3.579,5.481,0.007,0.006,4839.0,4603.0,1.0
"beta_time[Marte, Starling]",4.12,0.597,3.035,5.258,0.006,0.008,10995.0,5251.0,1.0
"beta_time[Martin, Austin]",4.595,0.533,3.649,5.644,0.008,0.007,4022.0,5046.0,1.0
"beta_time[Martini, Nick]",4.097,0.616,2.888,5.225,0.006,0.009,12239.0,4482.0,1.0
"beta_time[Massey, Michael]",4.272,0.582,3.194,5.392,0.007,0.008,8139.0,4736.0,1.0
"beta_time[Mastrobuoni, Miles]",4.068,0.58,2.951,5.135,0.005,0.008,12132.0,5171.0,1.0
"beta_time[Mateo, Jorge]",4.099,0.606,2.954,5.245,0.005,0.009,12683.0,4574.0,1.0
"beta_time[Matos, Luis]",4.364,0.569,3.293,5.41,0.006,0.008,8056.0,4798.0,1.0
"beta_time[McCarthy, Jake]",3.588,0.459,2.709,4.431,0.005,0.005,8627.0,5846.0,1.0
"beta_time[McCormick, Chas]",3.544,0.599,2.407,4.654,0.006,0.009,8809.0,4198.0,1.0
"beta_time[McCray, Grant]",4.157,0.593,3.075,5.321,0.006,0.009,11692.0,4782.0,1.0
"beta_time[McCutchen, Andrew]",4.134,0.601,2.983,5.264,0.005,0.009,14539.0,4938.0,1.0
"beta_time[McKinney, Billy]",4.104,0.616,2.888,5.211,0.006,0.009,12696.0,5317.0,1.0
"beta_time[McKinstry, Zach]",4.151,0.552,3.103,5.18,0.005,0.008,11711.0,5723.0,1.0
"beta_time[McNeil, Jeff]",4.159,0.574,3.069,5.222,0.005,0.008,11978.0,5488.0,1.0
"beta_time[Melendez, MJ]",3.97,0.543,2.952,4.978,0.005,0.008,12433.0,5263.0,1.0
"beta_time[Melton, Jacob]",4.18,0.6,3.012,5.268,0.005,0.009,12923.0,5061.0,1.0
"beta_time[Mesa Jr., Victor]",4.278,0.608,3.19,5.473,0.006,0.009,9491.0,4452.0,1.0
"beta_time[Misner, Kameron]",4.203,0.584,3.119,5.292,0.006,0.009,10984.0,4760.0,1.0
"beta_time[Moniak, Mickey]",2.891,0.566,1.77,3.893,0.012,0.006,2335.0,4367.0,1.0
"beta_time[Montes, Coco]",4.093,0.628,2.889,5.267,0.006,0.009,10761.0,5243.0,1.0
"beta_time[Morel, Christopher]",4.198,0.451,3.373,5.056,0.005,0.006,10250.0,5536.0,1.0
"beta_time[Myers, Dane]",4.394,0.55,3.375,5.428,0.007,0.007,7342.0,4978.0,1.0
"beta_time[Nimmo, Brandon]",4.416,0.387,3.685,5.142,0.004,0.005,7645.0,4830.0,1.0
"beta_time[Nootbaar, Lars]",4.125,0.386,3.388,4.841,0.004,0.004,9792.0,5812.0,1.0
"beta_time[O'Hearn, Ryan]",4.294,0.612,3.146,5.438,0.007,0.01,8050.0,3699.0,1.0
"beta_time[O'Neill, Tyler]",4.268,0.583,3.174,5.369,0.006,0.008,9726.0,5567.0,1.0
"beta_time[Ornelas, Tirso]",4.137,0.591,3.033,5.258,0.006,0.008,11268.0,5278.0,1.0
"beta_time[Osuna, Alejandro]",3.936,0.489,3.024,4.865,0.004,0.006,13564.0,5788.0,1.0
"beta_time[Outman, James]",4.281,0.531,3.329,5.326,0.005,0.008,9760.0,4719.0,1.0
"beta_time[Pages, Andy]",4.074,0.515,3.072,5.021,0.005,0.006,10411.0,5783.0,1.0
"beta_time[Palacios, Joshua]",3.769,0.589,2.662,4.852,0.005,0.008,12335.0,5267.0,1.0
"beta_time[Palacios, Richie]",3.862,0.554,2.792,4.878,0.005,0.007,14333.0,5422.0,1.0
"beta_time[Pham, Tommy]",4.268,0.382,3.551,4.985,0.004,0.004,9245.0,6058.0,1.0
"beta_time[Pillar, Kevin]",4.06,0.597,2.923,5.154,0.005,0.008,13227.0,4893.0,1.0
"beta_time[Profar, Jurickson]",4.347,0.41,3.588,5.121,0.005,0.004,6763.0,5680.0,1.0
"beta_time[Pérez, Wenceel]",4.065,0.603,2.96,5.232,0.005,0.009,12642.0,4888.0,1.0
"beta_time[Raley, Luke]",4.146,0.625,2.928,5.297,0.006,0.01,12536.0,5000.0,1.0
"beta_time[Ramos, Heliot]",3.382,0.296,2.849,3.954,0.004,0.003,6992.0,6314.0,1.0
"beta_time[Rave, John]",3.834,0.489,2.929,4.769,0.004,0.006,14167.0,5849.0,1.0
"beta_time[Refsnyder, Rob]",3.867,0.549,2.844,4.923,0.005,0.007,13341.0,5335.0,1.0
"beta_time[Rengifo, Luis]",4.046,0.611,2.947,5.239,0.005,0.009,12546.0,5011.0,1.0
"beta_time[Robertson, Will]",4.251,0.486,3.327,5.141,0.005,0.006,8101.0,5523.0,1.0
"beta_time[Roden, Alan]",4.363,0.444,3.587,5.233,0.005,0.005,8956.0,5945.0,1.0
"beta_time[Rojas, Josh]",4.132,0.611,3.002,5.313,0.006,0.009,10846.0,5255.0,1.0
"beta_time[Rooker, Brent]",4.164,0.588,3.04,5.231,0.006,0.008,11029.0,4987.0,1.0
"beta_time[Ruiz, Esteury]",4.214,0.585,3.069,5.317,0.006,0.008,9874.0,4600.0,1.0
"beta_time[Sanoja, Javier]",4.41,0.541,3.413,5.417,0.007,0.007,6885.0,5253.0,1.0
"beta_time[Santander, Anthony]",4.177,0.595,3.06,5.314,0.006,0.009,10378.0,4506.0,1.0
"beta_time[Schneemann, Daniel]",3.965,0.609,2.803,5.113,0.005,0.009,14797.0,5272.0,1.0
"beta_time[Schneider, Davis]",3.554,0.459,2.674,4.394,0.005,0.005,8751.0,6116.0,1.0
"beta_time[Schuemann, Max]",4.242,0.594,3.08,5.359,0.006,0.008,9347.0,5296.0,1.0
"beta_time[Schwarber, Kyle]",4.217,0.551,3.215,5.304,0.005,0.008,10885.0,5415.0,1.0
"beta_time[Scott II, Victor]",3.94,0.612,2.803,5.088,0.005,0.01,14481.0,5043.0,1.0
"beta_time[Sheets, Gavin]",4.278,0.461,3.426,5.137,0.005,0.005,8138.0,5357.0,1.0
"beta_time[Simon, Ronny]",4.257,0.563,3.23,5.328,0.005,0.008,10652.0,5117.0,1.0
"beta_time[Simpson, Chandler]",3.563,0.424,2.783,4.368,0.005,0.005,8625.0,5916.0,1.0
"beta_time[Slater, Austin]",4.43,0.502,3.494,5.391,0.006,0.006,6414.0,5554.0,1.0
"beta_time[Smith, Josh]",3.983,0.544,2.968,4.984,0.005,0.008,10143.0,5060.0,1.0
"beta_time[Soderstrom, Tyler]",4.124,0.386,3.41,4.838,0.004,0.005,9506.0,6077.0,1.0
"beta_time[Solak, Nick]",4.064,0.581,2.927,5.092,0.005,0.008,12985.0,5802.0,1.0
"beta_time[Sosa, Edmundo]",4.216,0.579,3.092,5.309,0.006,0.008,9409.0,4987.0,1.0
"beta_time[Springer, George]",4.241,0.577,3.124,5.313,0.006,0.008,10023.0,5230.0,1.0
"beta_time[Stanton, Giancarlo]",4.326,0.583,3.238,5.435,0.007,0.009,6517.0,4135.0,1.0
"beta_time[Steer, Spencer]",3.553,0.533,2.496,4.501,0.006,0.007,7363.0,6022.0,1.0
"beta_time[Stowers, Kyle]",4.528,0.441,3.721,5.38,0.006,0.005,6079.0,5204.0,1.0
"beta_time[Straw, Myles]",3.808,0.554,2.769,4.866,0.005,0.007,11469.0,5622.0,1.0
"beta_time[Suwinski, Jack]",3.374,0.541,2.352,4.372,0.007,0.007,6555.0,5136.0,1.0
"beta_time[Suzuki, Seiya]",3.812,0.526,2.853,4.826,0.005,0.007,11688.0,5732.0,1.0
"beta_time[Sánchez, Jesús]",4.308,0.493,3.406,5.253,0.006,0.006,7276.0,5725.0,1.0
"beta_time[Tawa, Tim]",4.155,0.579,3.061,5.257,0.006,0.008,11070.0,5143.0,1.0
"beta_time[Taylor, Chris]",4.421,0.527,3.406,5.401,0.007,0.006,5534.0,5407.0,1.0
"beta_time[Taylor, Michael A.]",4.343,0.495,3.416,5.278,0.006,0.007,7198.0,4103.0,1.0
"beta_time[Taylor, Tyrone]",4.108,0.598,3.042,5.312,0.005,0.009,13762.0,4855.0,1.0
"beta_time[Thomas, Colby]",3.82,0.572,2.691,4.89,0.005,0.008,12874.0,5113.0,1.0
"beta_time[Thomas, Rhylan]",3.973,0.598,2.831,5.122,0.005,0.008,11887.0,5410.0,1.0
"beta_time[Tolbert, Tyler]",3.965,0.563,2.915,5.065,0.005,0.008,13875.0,4712.0,1.0
"beta_time[Trammell, Taylor]",4.486,0.551,3.491,5.56,0.008,0.007,5408.0,5148.0,1.0
"beta_time[Veen, Zac]",4.134,0.556,3.037,5.137,0.005,0.008,13018.0,4855.0,1.0
"beta_time[Verdugo, Alex]",3.995,0.462,3.103,4.843,0.004,0.006,11269.0,6096.0,1.0
"beta_time[Vierling, Matt]",4.191,0.601,3.038,5.32,0.006,0.008,10364.0,5494.0,1.0
"beta_time[Vilade, Ryan]",4.047,0.614,2.921,5.22,0.005,0.009,13733.0,5185.0,1.0
"beta_time[Wade, Tyler]",4.368,0.588,3.306,5.52,0.007,0.008,7986.0,4707.0,1.0
"beta_time[Wade Jr., LaMonte]",4.11,0.603,3.039,5.319,0.005,0.009,12425.0,4666.0,1.0
"beta_time[Wagaman, Eric]",3.971,0.535,2.953,4.975,0.005,0.007,12618.0,5140.0,1.0
"beta_time[Ward, Taylor]",4.548,0.353,3.885,5.208,0.006,0.004,4018.0,5467.0,1.0
"beta_time[Waters, Drew]",4.463,0.497,3.558,5.421,0.007,0.006,5420.0,5507.0,1.0
"beta_time[Whitcomb, Shay]",4.275,0.601,3.124,5.405,0.006,0.01,9912.0,4829.0,1.0
"beta_time[White, Eli]",4.115,0.507,3.174,5.081,0.005,0.007,12507.0,5621.0,1.0
"beta_time[Wiemer, Joey]",4.079,0.604,2.973,5.257,0.006,0.009,11436.0,5031.0,1.0
"beta_time[Wilson, Weston]",4.198,0.542,3.196,5.219,0.005,0.007,10380.0,4951.0,1.0
"beta_time[Winker, Jesse]",3.397,0.645,2.139,4.547,0.009,0.01,5353.0,4263.0,1.0
"beta_time[Wood, James]",4.31,0.389,3.599,5.049,0.004,0.005,7914.0,5644.0,1.0
"beta_time[Yastrzemski, Mike]",4.223,0.591,3.114,5.342,0.006,0.008,10282.0,5367.0,1.0
"beta_time[Yelich, Christian]",4.377,0.536,3.305,5.344,0.007,0.007,7061.0,4203.0,1.0
"beta_time[Yoshida, Masataka]",4.026,0.586,2.946,5.151,0.005,0.009,13235.0,4711.0,1.0
"beta_time[Young, Jared]",4.091,0.623,2.939,5.309,0.005,0.009,13797.0,5030.0,1.0
sigma_alpha,0.209,0.057,0.103,0.317,0.005,0.002,144.0,147.0,1.02
sigma_beta_dist,0.684,0.068,0.556,0.81,0.002,0.001,1460.0,2866.0,1.0
sigma_beta_time,0.597,0.104,0.409,0.801,0.005,0.002,465.0,712.0,1.0
